"Relative Time (Process)","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.0.powerWatts","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.0.powerWatts__MIN","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.0.powerWatts__MAX","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.1.powerWatts","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.1.powerWatts__MIN","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.1.powerWatts__MAX","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.2.powerWatts","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.2.powerWatts__MIN","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.2.powerWatts__MAX","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.3.powerWatts","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.3.powerWatts__MIN","hf_tjsp2024_2025_phi4_14B-ft-inferencee_2025-04-26_00-23-02 - system/gpu.3.powerWatts__MAX"
"376.289678688","59.085","59.085","59.085","62.502","62.502","62.502","63.845","63.845","63.845","116.414","116.414","116.414"
"391.076332951","58.81","58.81","58.81","62.496","62.496","62.496","62.48","62.48","62.48","108.303","108.303","108.303"
"405.963848276","58.117","58.117","58.117","62.537","62.537","62.537","100.776","100.776","100.776","111.061","111.061","111.061"
"420.76681668","58.772","58.772","58.772","62.326","62.326","62.326","181.825","181.825","181.825","106.255","106.255","106.255"
"435.590914997","58.81","58.81","58.81","62.132","62.132","62.132","68.964","68.964","68.964","111.365","111.365","111.365"
"451.574300826","59.004","59.004","59.004","54.943","54.943","54.943","104.189","104.189","104.189","86.835","86.835","86.835"
"465.877326602","51.703","51.703","51.703","55.637","55.637","55.637","56.121","56.121","56.121","65.036","65.036","65.036"
"481.383932207","43.836","43.836","43.836","61.914","61.914","61.914","185.482","185.482","185.482","215.854","215.854","215.854"
"496.20528759","50.634","50.634","50.634","61.926","61.926","61.926","99.6","99.6","99.6","77.391","77.391","77.391"
"510.735316426","57.982","57.982","57.982","54.736","54.736","54.736","100.72","100.72","100.72","131.452","131.452","131.452"
"525.812878691","51.6","51.6","51.6","54.336","54.336","54.336","84.747","84.747","84.747","106.507","106.507","106.507"
"541.182356057","71.635","71.635","71.635","79.801","79.801","79.801","128.741","128.741","128.741","179.2","179.2","179.2"
"556.687992294","89.127","89.127","89.127","77.381","77.381","77.381","93.752","93.752","93.752","162.478","162.478","162.478"
"570.791297831","58.675","58.675","58.675","62.114","62.114","62.114","85.213","85.213","85.213","271.968","271.968","271.968"
"585.695164466","47.572","47.572","47.572","54.556","54.556","54.556","92.399","92.399","92.399","262.619","262.619","262.619"
"601.026254369","51.309","51.309","51.309","54.447","54.447","54.447","153.762","153.762","153.762","85.871","85.871","85.871"
"615.986462284","50.215","50.215","50.215","61.708","61.708","61.708","63.62","63.62","63.62","196.943","196.943","196.943"
"630.932866345","58.384","58.384","58.384","54.636","54.636","54.636","216.861","216.861","216.861","252.689","252.689","252.689"
"646.057290825","57.788","57.788","57.788","54.648","54.648","54.648","231.045","231.045","231.045","83.204","83.204","83.204"
"661.686294998","131.914","131.914","131.914","139.524","139.524","139.524","181.899","181.899","181.899","86.937","86.937","86.937"
"676.569379955","59.56","59.56","59.56","63.771","63.771","63.771","141.031","141.031","141.031","236.177","236.177","236.177"
"690.791702569","48.556","48.556","48.556","51.704","51.704","51.704","120.552","120.552","120.552","212.45","212.45","212.45"
"705.563107216","51.411","51.411","51.411","41.276","41.276","41.276","190.89","190.89","190.89","144.905","144.905","144.905"
"720.695865102","50.823","50.823","50.823","54.447","54.447","54.447","78.923","78.923","78.923","183.923","183.923","183.923"
"736.5891305","73.807","73.807","73.807","55.151","55.151","55.151","196.793","196.793","196.793","208.578","208.578","208.578"
"750.558874737","122.289","122.289","122.289","59.048","59.048","59.048","157.573","157.573","157.573","166.029","166.029","166.029"
"766.754762222","170.98","170.98","170.98","146.192","146.192","146.192","178.779","178.779","178.779","183.78","183.78","183.78"
"781.100411035","58.772","58.772","58.772","63.777","63.777","63.777","203.122","203.122","203.122","197.958","197.958","197.958"
"795.547198399","51.12","51.12","51.12","55.54","55.54","55.54","185.104","185.104","185.104","230.729","230.729","230.729"
"810.553223129","51.309","51.309","51.309","56.108","56.108","56.108","91.639","91.639","91.639","155.857","155.857","155.857"
"825.551296559","51.71","51.71","51.71","55.638","55.638","55.638","178.715","178.715","178.715","171.092","171.092","171.092"
"841.434801574","58.503","58.503","58.503","62.52","62.52","62.52","180.666","180.666","180.666","108.425","108.425","108.425"
"855.756360934","65.784","65.784","65.784","54.751","54.751","54.751","117.524","117.524","117.524","156.982","156.982","156.982"
"871.371997751","66.935","66.935","66.935","62.035","62.035","62.035","172.817","172.817","172.817","172.94","172.94","172.94"
"885.898586666","59.561","59.561","59.561","54.556","54.556","54.556","210.65","210.65","210.65","60.563","60.563","60.563"
"900.693947656","62.013","62.013","62.013","45.19","45.19","45.19","108.939","108.939","108.939","196.941","196.941","196.941"
"915.552757974","63.477","63.477","63.477","56.698","56.698","56.698","140.827","140.827","140.827","157.663","157.663","157.663"
"930.545402994","69.27","69.27","69.27","39.294","39.294","39.294","97.381","97.381","97.381","146.566","146.566","146.566"
"946.470861459","58.869","58.869","58.869","61.439","61.439","61.439","106.29","106.29","106.29","110.084","110.084","110.084"
"961.257871389","66.262","66.262","66.262","61.537","61.537","61.537","131.873","131.873","131.873","112.819","112.819","112.819"
"976.039001783","68.488","68.488","68.488","61.611","61.611","61.611","57.985","57.985","57.985","69.063","69.063","69.063"
"990.642376385","63.009","63.009","63.009","54.253","54.253","54.253","123.243","123.243","123.243","137.288","137.288","137.288"
"1006.227420956","51.703","51.703","51.703","61.829","61.829","61.829","183.042","183.042","183.042","159.002","159.002","159.002"
"1020.828416838","66.437","66.437","66.437","54.544","54.544","54.544","117.348","117.348","117.348","117.145","117.145","117.145"
"1035.548304702","67.13","67.13","67.13","55.034","55.034","55.034","176.475","176.475","176.475","144.818","144.818","144.818"
"1051.104993281","51.71","51.71","51.71","56.309","56.309","56.309","121.531","121.531","121.531","107.791","107.791","107.791"
"1065.683147841","67.537","67.537","67.537","54.538","54.538","54.538","136.31","136.31","136.31","196.769","196.769","196.769"
"1081.333052185","70.013","70.013","70.013","61.811","61.811","61.811","157.83","157.83","157.83","143.099","143.099","143.099"
"1095.918587786","51.698","51.698","51.698","54.639","54.639","54.639","118.601","118.601","118.601","149.761","149.761","149.761"
"1111.461629915","68.112","68.112","68.112","61.823","61.823","61.823","73.701","73.701","73.701","260.713","260.713","260.713"
"1126.442345967","71.179","71.179","71.179","61.817","61.817","61.817","148.588","148.588","148.588","153.929","153.929","153.929"
"1141.309249871","68.513","68.513","68.513","61.805","61.805","61.805","218.063","218.063","218.063","145.652","145.652","145.652"
"1155.835125139","51.309","51.309","51.309","54.253","54.253","54.253","78.829","78.829","78.829","224.257","224.257","224.257"
"1170.607930092","70.212","70.212","70.212","54.633","54.633","54.633","67.439","67.439","67.439","121.279","121.279","121.279"
"1186.548278157","68.307","68.307","68.307","39.304","39.304","39.304","155.076","155.076","155.076","95.7","95.7","95.7"
"1201.314813173","66.729","66.729","66.729","61.416","61.416","61.416","107.849","107.849","107.849","103.892","103.892","103.892"
"1215.797694079","50.823","50.823","50.823","54.253","54.253","54.253","91.708","91.708","91.708","216.487","216.487","216.487"
"1231.554978429","71.476","71.476","71.476","42.638","42.638","42.638","99.274","99.274","99.274","101.963","101.963","101.963"
"1246.154103903","51.6","51.6","51.6","61.439","61.439","61.439","96.816","96.816","96.816","121.02","121.02","121.02"
"1260.988981503","84.373","84.373","84.373","53.766","53.766","53.766","79.601","79.601","79.601","141.655","141.655","141.655"
"1275.854389833","111.796","111.796","111.796","54.73","54.73","54.73","215.868","215.868","215.868","232.754","232.754","232.754"
"1290.547446344","85.174","85.174","85.174","54.15","54.15","54.15","84.038","84.038","84.038","147.509","147.509","147.509"
"1305.868658023","51.613","51.613","51.613","54.35","54.35","54.35","236.348","236.348","236.348","66.857","66.857","66.857"
"1320.700728098","51.406","51.406","51.406","53.864","53.864","53.864","223.113","223.113","223.113","255.785","255.785","255.785"
"1335.81951668","51.905","51.905","51.905","54.044","54.044","54.044","150.044","150.044","150.044","90.616","90.616","90.616"
"1350.681354133","51.217","51.217","51.217","54.058","54.058","54.058","207.706","207.706","207.706","202.843","202.843","202.843"
"1366.777932307","58.772","58.772","58.772","61.33","61.33","61.33","245.28","245.28","245.28","251.283","251.283","251.283"
"1381.498513071","57.999","57.999","57.999","61.233","61.233","61.233","143.33","143.33","143.33","91.411","91.411","91.411"
"1396.297416613","55.05","55.05","55.05","53.782","53.782","53.782","56.911","56.911","56.911","64.763","64.763","64.763"
"1411.064759914","50.828","50.828","50.828","54.544","54.544","54.544","94.513","94.513","94.513","95.3","95.3","95.3"
"1426.4180362","57.885","57.885","57.885","61.233","61.233","61.233","113.611","113.611","113.611","141.336","141.336","141.336"
"1441.196519461","50.026","50.026","50.026","61.039","61.039","61.039","126.292","126.292","126.292","186.747","186.747","186.747"
"1456.162708142","50.634","50.634","50.634","61.136","61.136","61.136","142.978","142.978","142.978","190.14","190.14","190.14"
"1471.083645007","50.532","50.532","50.532","55.637","55.637","55.637","91.834","91.834","91.834","235.842","235.842","235.842"
"1486.391375737","52.694","52.694","52.694","61.233","61.233","61.233","90.368","90.368","90.368","234.458","234.458","234.458"
"1500.544126643","50.233","50.233","50.233","54.336","54.336","54.336","87.149","87.149","87.149","85.885","85.885","85.885"
"1515.67234707","50.228","50.228","50.228","53.961","53.961","53.961","90.672","90.672","90.672","175.899","175.899","175.899"
"1531.577619002","46.698","46.698","46.698","41.577","41.577","41.577","64.307","64.307","64.307","259.768","259.768","259.768"
"1546.227435852","41.775","41.775","41.775","39.792","39.792","39.792","142.252","142.252","142.252","103.614","103.614","103.614"
"1560.963629742","43.161","43.161","43.161","53.669","53.669","53.669","76.279","76.279","76.279","218.495","218.495","218.495"
"1575.773832813","50.026","50.026","50.026","38.318","38.318","38.318","146.178","146.178","146.178","99.998","99.998","99.998"
"1590.542723817","40.401","40.401","40.401","51.995","51.995","51.995","74.939","74.939","74.939","171.174","171.174","171.174"
"1605.546940216","50.33","50.33","50.33","38.112","38.112","38.112","80.99","80.99","80.99","171.575","171.575","171.575"
"1620.561065505","49.832","49.832","49.832","38.112","38.112","38.112","168.196","168.196","168.196","146.083","146.083","146.083"
"1636.657302079","46.71","46.71","46.71","41.373","41.373","41.373","81.868","81.868","81.868","197.359","197.359","197.359"
"1651.211445293","40.694","40.694","40.694","40.191","40.191","40.191","127.091","127.091","127.091","168.483","168.483","168.483"
"1666.070968167","43.453","43.453","43.453","41.286","41.286","41.286","79.036","79.036","79.036","204.529","204.529","204.529"
"1680.559751541","43.247","43.247","43.247","38.015","38.015","38.015","88.917","88.917","88.917","173.247","173.247","173.247"
"1695.551754758","49.734","49.734","49.734","53.475","53.475","53.475","121.613","121.613","121.613","144.02","144.02","144.02"
"1710.553162851","43.441","43.441","43.441","38.112","38.112","38.112","170.656","170.656","170.656","135.184","135.184","135.184"
"1725.551471111","32.216","32.216","32.216","50.622","50.622","50.622","178.082","178.082","178.082","131.258","131.258","131.258"
"1741.729862549","38.636","38.636","38.636","38.222","38.222","38.222","80.959","80.959","80.959","205.952","205.952","205.952"
"1756.430520344","37.63","37.63","37.63","38.209","38.209","38.209","131.653","131.653","131.653","88.146","88.146","88.146"
"1771.251975163","43.149","43.149","43.149","40.971","40.971","40.971","92.593","92.593","92.593","140.417","140.417","140.417"
"1785.990544398","43.246","43.246","43.246","44.023","44.023","44.023","194.444","194.444","194.444","236.984","236.984","236.984"
"1800.724116853","49.827","49.827","49.827","50.913","50.913","50.913","154.355","154.355","154.355","140.789","140.789","140.789"
"1815.545195187","50.726","50.726","50.726","53.572","53.572","53.572","228.029","228.029","228.029","227.863","227.863","227.863"
"1830.552264837","50.021","50.021","50.021","53.849","53.849","53.849","166.48","166.48","166.48","190.309","190.309","190.309"
"1845.546472918","41.467","41.467","41.467","41.653","41.653","41.653","265.544","265.544","265.544","60.838","60.838","60.838"
"1860.552420223","49.244","49.244","49.244","47.463","47.463","47.463","91.031","91.031","91.031","111.056","111.056","111.056"
"1875.557377902","32.605","32.605","32.605","44.229","44.229","44.229","99.675","99.675","99.675","93.033","93.033","93.033"
"1891.777676382","43.538","43.538","43.538","41.47","41.47","41.47","86.129","86.129","86.129","198.139","198.139","198.139"
"1906.507968166","38.627","38.627","38.627","41.459","41.459","41.459","120.76","120.76","120.76","244.146","244.146","244.146"
"1921.342498594","43.647","43.647","43.647","42.832","42.832","42.832","82.71","82.71","82.71","245.702","245.702","245.702"
"1936.290897416","43.246","43.246","43.246","41.459","41.459","41.459","81.178","81.178","81.178","137.442","137.442","137.442"
"1950.944308825","49.929","49.929","49.929","53.268","53.268","53.268","56.315","56.315","56.315","64.97","64.97","64.97"
"1965.721323602","41.861","41.861","41.861","38.112","38.112","38.112","90.23","90.23","90.23","136.232","136.232","136.232"
"1980.550017928","43.55","43.55","43.55","43.719","43.719","43.719","136.987","136.987","136.987","195.992","195.992","195.992"
"1995.549945464","43.149","43.149","43.149","38.112","38.112","38.112","121.073","121.073","121.073","208.544","208.544","208.544"
"2010.549956126","44.518","44.518","44.518","53.06","53.06","53.06","116.864","116.864","116.864","129.19","129.19","129.19"
"2025.551056362","43.441","43.441","43.441","53.171","53.171","53.171","78.233","78.233","78.233","142.301","142.301","142.301"
"2040.548449105","40.694","40.694","40.694","38.209","38.209","38.209","93.407","93.407","93.407","122.075","122.075","122.075"
"2055.553238288","32.313","32.313","32.313","53.669","53.669","53.669","53.281","53.281","53.281","349.743","349.743","349.743"
"2070.553357344","32.404","32.404","32.404","47.463","47.463","47.463","77.433","77.433","77.433","196.986","196.986","196.986"
"2086.830717865","42.772","42.772","42.772","41.276","41.276","41.276","171.609","171.609","171.609","204.132","204.132","204.132"
"2101.755769567","41.082","41.082","41.082","41.265","41.265","41.265","210.593","210.593","210.593","76.746","76.746","76.746"
"2116.65853089","40.098","40.098","40.098","41.373","41.373","41.373","75.07","75.07","75.07","254.004","254.004","254.004"
"2131.502074831","47.07","47.07","47.07","38.112","38.112","38.112","106.292","106.292","106.292","96.254","96.254","96.254"
"2146.379240368","43.55","43.55","43.55","38.623","38.623","38.623","163.897","163.897","163.897","260.077","260.077","260.077"
"2161.21091983","42.845","42.845","42.845","39.997","39.997","39.997","109.133","109.133","109.133","241.873","241.873","241.873"
"2175.949463898","43.247","43.247","43.247","53.268","53.268","53.268","115.412","115.412","115.412","181.384","181.384","181.384"
"2190.725460837","42.955","42.955","42.955","42.258","42.258","42.258","90.03","90.03","90.03","97.663","97.663","97.663"
"2205.576268538","43.63","43.63","43.63","52.963","52.963","52.963","169.664","169.664","169.664","197.065","197.065","197.065"
"2220.552482277","72.056","72.056","72.056","53.157","53.157","53.157","280.666","280.666","280.666","59.964","59.964","59.964"
"2235.550558452","104.853","104.853","104.853","38.115","38.115","38.115","200.245","200.245","200.245","219.826","219.826","219.826"
"2250.550008714","87.409","87.409","87.409","43.622","43.622","43.622","160.183","160.183","160.183","181.282","181.282","181.282"
"2266.67104998","47.585","47.585","47.585","44.703","44.703","44.703","166.554","166.554","166.554","101.864","101.864","101.864"
"2281.526620172","45.616","45.616","45.616","41.664","41.664","41.664","84.691","84.691","84.691","218.044","218.044","218.044"
"2296.127059179","43.538","43.538","43.538","38.623","38.623","38.623","55.635","55.635","55.635","64.362","64.362","64.362"
"2310.85163263","43.052","43.052","43.052","42.042","42.042","42.042","122.667","122.667","122.667","203.979","203.979","203.979"
"2325.74211633","50.228","50.228","50.228","42.528","42.528","42.528","56.739","56.739","56.739","224.044","224.044","224.044"
"2340.608359716","43.927","43.927","43.927","53.171","53.171","53.171","184.731","184.731","184.731","237.868","237.868","237.868"
"2355.546260612","50.026","50.026","50.026","38.209","38.209","38.209","69.105","69.105","69.105","81.476","81.476","81.476"
"2370.547741151","43.63","43.63","43.63","53.572","53.572","53.572","164.875","164.875","164.875","221.892","221.892","221.892"
"2385.545222761","33.298","33.298","33.298","53.669","53.669","53.669","109.099","109.099","109.099","239.529","239.529","239.529"
"2400.552278364","32.605","32.605","32.605","54.058","54.058","54.058","189.036","189.036","189.036","92.537","92.537","92.537"
"2416.734435994","48.459","48.459","48.459","41.664","41.664","41.664","195.072","195.072","195.072","132.543","132.543","132.543"
"2431.483959961","46.978","46.978","46.978","39.002","39.002","39.002","159.116","159.116","159.116","217.79","217.79","217.79"
"2445.969323813","43.246","43.246","43.246","54.621","54.621","54.621","132.174","132.174","132.174","178.193","178.193","178.193"
"2460.693326964","42.147","42.147","42.147","53.946","53.946","53.946","87.111","87.111","87.111","197.036","197.036","197.036"
"2475.545872714","44.025","44.025","44.025","51.12","51.12","51.12","79.008","79.008","79.008","100.289","100.289","100.289"
"2490.551947919","46.588","46.588","46.588","38.221","38.221","38.221","168.937","168.937","168.937","197.704","197.704","197.704"
"2505.547342125","43.241","43.241","43.241","45.992","45.992","45.992","75.64","75.64","75.64","188.899","188.899","188.899"
"2520.554470163","32.41","32.41","32.41","51.314","51.314","51.314","82.159","82.159","82.159","140.345","140.345","140.345"
"2536.646104637","45.033","45.033","45.033","39.012","39.012","39.012","119.307","119.307","119.307","132.923","132.923","132.923"
"2551.379477478","40.596","40.596","40.596","38.905","38.905","38.905","119.016","119.016","119.016","215.554","215.554","215.554"
"2566.043451043","43.453","43.453","43.453","39.705","39.705","39.705","82.327","82.327","82.327","94.816","94.816","94.816"
"2580.745099846","43.149","43.149","43.149","45.093","45.093","45.093","111.384","111.384","111.384","109.849","109.849","109.849"
"2595.684440833","43.732","43.732","43.732","39.303","39.303","39.303","63.724","63.724","63.724","88.838","88.838","88.838"
"2610.605020128","42.261","42.261","42.261","50.719","50.719","50.719","249.588","249.588","249.588","97.132","97.132","97.132"
"2625.547466567","43.533","43.533","43.533","38.112","38.112","38.112","64.977","64.977","64.977","89.561","89.561","89.561"
"2640.545908678","45.896","45.896","45.896","53.475","53.475","53.475","234.303","234.303","234.303","127.296","127.296","127.296"
"2655.549131524","43.538","43.538","43.538","38.209","38.209","38.209","76.743","76.743","76.743","141.626","141.626","141.626"
"2670.55899915","43.355","43.355","43.355","37.917","37.917","37.917","144.065","144.065","144.065","132.439","132.439","132.439"
"2685.554216575","50.33","50.33","50.33","51.898","51.898","51.898","102.823","102.823","102.823","152.124","152.124","152.124"
"2700.554702749","32.119","32.119","32.119","38.513","38.513","38.513","89.11","89.11","89.11","193.71","193.71","193.71"
"2716.471473313","35.973","35.973","35.973","36.446","36.446","36.446","93.047","93.047","93.047","211.997","211.997","211.997"
"2731.112980189","49.735","49.735","49.735","38.818","38.818","38.818","186.768","186.768","186.768","112.348","112.348","112.348"
"2745.800130375","50.228","50.228","50.228","51.911","51.911","51.911","187.466","187.466","187.466","140.781","140.781","140.781"
"2760.596561671","41.179","41.179","41.179","39.012","39.012","39.012","56.115","56.115","56.115","65.067","65.067","65.067"
"2775.545181457","43.149","43.149","43.149","38.112","38.112","38.112","83.805","83.805","83.805","136.564","136.564","136.564"
"2790.546533975","41.386","41.386","41.386","41.373","41.373","41.373","175.082","175.082","175.082","88.152","88.152","88.152"
"2805.54811893","50.039","50.039","50.039","52.798","52.798","52.798","89.872","89.872","89.872","221.074","221.074","221.074"
"2820.560069","45.02","45.02","45.02","50.622","50.622","50.622","136.794","136.794","136.794","178.021","178.021","178.021"
"2835.554678866","32.508","32.508","32.508","41.87","41.87","41.87","166.627","166.627","166.627","90.421","90.421","90.421"
"2851.358634703","36.752","36.752","36.752","41.189","41.189","41.189","226.836","226.836","226.836","110.345","110.345","110.345"
"2866.347649766","49.832","49.832","49.832","38.525","38.525","38.525","89.755","89.755","89.755","96.216","96.216","96.216"
"2881.145920482","43.344","43.344","43.344","34.465","34.465","34.465","139.152","139.152","139.152","169.829","169.829","169.829"
"2895.906551667","49.14","49.14","49.14","41.069","41.069","41.069","155.267","155.267","155.267","198.994","198.994","198.994"
"2910.603050403","43.063","43.063","43.063","44.045","44.045","44.045","55.829","55.829","55.829","60.619","60.619","60.619"
"2925.542591063","43.063","43.063","43.063","49.929","49.929","49.929","69.279","69.279","69.279","246.874","246.874","246.874"
"2940.549427826","43.647","43.647","43.647","47.074","47.074","47.074","227.165","227.165","227.165","124.181","124.181","124.181"
"2955.547622002","41.484","41.484","41.484","38.015","38.015","38.015","162.729","162.729","162.729","94.195","94.195","94.195"
"2970.549305141","43.344","43.344","43.344","39.596","39.596","39.596","91.059","91.059","91.059","93.034","93.034","93.034"
"2985.54426932","48.94","48.94","48.94","38.221","38.221","38.221","90.659","90.659","90.659","92.936","92.936","92.936"
"3000.55019276","43.252","43.252","43.252","53.365","53.365","53.365","218.254","218.254","218.254","221.295","221.295","221.295"
"3015.558779674","32.508","32.508","32.508","49.735","49.735","49.735","82.521","82.521","82.521","140.122","140.122","140.122"
"3031.779021919","47.871","47.871","47.871","39.695","39.695","39.695","165.607","165.607","165.607","189.741","189.741","189.741"
"3046.699969696","46.686","46.686","46.686","39.987","39.987","39.987","87.179","87.179","87.179","87.028","87.028","87.028"
"3061.463841748","43.647","43.647","43.647","49.541","49.541","49.541","238.378","238.378","238.378","214.507","214.507","214.507"
"3076.423237871","40.688","40.688","40.688","40.786","40.786","40.786","95.545","95.545","95.545","242.184","242.184","242.184"
"3091.534779172","39.113","39.113","39.113","40.485","40.485","40.485","189.059","189.059","189.059","223.663","223.663","223.663"
"3106.653088926","38.918","38.918","38.918","40.874","40.874","40.874","135.717","135.717","135.717","218.924","218.924","218.924"
"3121.668417572","36.362","36.362","36.362","42.659","42.659","42.659","57.687","57.687","57.687","68.097","68.097","68.097"
"3136.690634134","38.724","38.724","38.724","40.884","40.884","40.884","88.007","88.007","88.007","171.044","171.044","171.044"
"3150.554590541","30.636","30.636","30.636","38.61","38.61","38.61","78.414","78.414","78.414","126.633","126.633","126.633"
"3165.548337918","30.636","30.636","30.636","41.87","41.87","41.87","99.082","99.082","99.082","88.941","88.941","88.941"
"3180.557994108","35.56","35.56","35.56","38.209","38.209","38.209","108.472","108.472","108.472","175.114","175.114","175.114"
"3195.548077585","49.827","49.827","49.827","40.181","40.181","40.181","96.029","96.029","96.029","261.069","261.069","261.069"
"3210.547920984","35.661","35.661","35.661","46.09","46.09","46.09","73.701","73.701","73.701","133.42","133.42","133.42"
"3225.547718126","47.458","47.458","47.458","49.444","49.444","49.444","183.761","183.761","183.761","159.921","159.921","159.921"
"3240.546697164","35.56","35.56","35.56","44.995","44.995","44.995","142.354","142.354","142.354","144.951","144.951","144.951"
"3255.550162013","35.661","35.661","35.661","47.366","47.366","47.366","95.643","95.643","95.643","216.143","216.143","216.143"
"3270.72696944","40.791","40.791","40.791","38.015","38.015","38.015","73.624","73.624","73.624","107.3","107.3","107.3"
"3285.821351064","39.006","39.006","39.006","38.015","38.015","38.015","223.023","223.023","223.023","101.846","101.846","101.846"
"3300.946172178","42.657","42.657","42.657","38.006","38.006","38.006","228.168","228.168","228.168","249.167","249.167","249.167"
"3316.111678413","49.438","49.438","49.438","41.189","41.189","41.189","87.231","87.231","87.231","236.994","236.994","236.994"
